"resposta","pergunta","pais","ano","n","p"
"Concordo","Faço amigos com facilidade na escola","COL","2018",393704.57612026,74.2872422483491
"Concordo","Faço amigos com facilidade na escola","COL","2022",449560.797219347,76.6275794187911
"Concordo","Faço amigos com facilidade na escola","CRI","2012",22723.2905,90.636749547888
"Concordo","Faço amigos com facilidade na escola","CRI","2015",37193.1514454166,71.6668215403052
"Concordo","Faço amigos com facilidade na escola","CRI","2018",33737.2596306688,74.189142248686
"Concordo","Faço amigos com facilidade na escola","CRI","2022",42285.0636191876,73.8604564124231
"Concordo","Faço amigos com facilidade na escola","CZE","2000",108472.153,87.0347675403185
"Concordo","Faço amigos com facilidade na escola","CZE","2003",102465.4589,89.1474915547301
"Concordo","Faço amigos com facilidade na escola","CZE","2012",46086.423,87.4771627071738
"Concordo","Faço amigos com facilidade na escola","CZE","2015",63619.2936908361,75.2726043049976
"Concordo","Faço amigos com facilidade na escola","CZE","2018",64005.7134206786,72.8931548229869
"Concordo","Faço amigos com facilidade na escola","CZE","2022",71303.7221627599,71.1145812427078
"Concordo","Faço amigos com facilidade na escola","DEU","2000",659513.8589,81.3468592803593
"Concordo","Faço amigos com facilidade na escola","DEU","2003",703739.6904,86.433877034093
"Concordo","Faço amigos com facilidade na escola","DEU","2012",341978.8066,82.0694072979734
"Concordo","Faço amigos com facilidade na escola","DEU","2015",543517.852273289,73.2630209336678
"Concordo","Faço amigos com facilidade na escola","DEU","2018",528471.256095914,71.9091402398132
"Concordo","Faço amigos com facilidade na escola","DEU","2022",473307.944567033,69.4611647003481
"Concordo","Faço amigos com facilidade na escola","DNK","2000",40838.1462,86.3401536933802
"Concordo","Faço amigos com facilidade na escola","DNK","2003",44004.7534,88.1143173706834
"Concordo","Faço amigos com facilidade na escola","DNK","2012",34965.4527,84.4497063188082
"Concordo","Faço amigos com facilidade na escola","DNK","2015",48039.2604386433,79.2014408583603
"Concordo","Faço amigos com facilidade na escola","DNK","2018",47424.0719587436,79.083671335405
"Concordo","Faço amigos com facilidade na escola","DNK","2022",45747.2096313498,80.3859300773177
"Concordo","Faço amigos com facilidade na escola","DOM","2015",87384.3614318246,66.0502909544436
"Concordo","Faço amigos com facilidade na escola","DOM","2018",103185.442752054,73.5303577374804
"Concordo","Faço amigos com facilidade na escola","DOM","2022",92968.5421963509,76.2810610594285
"Concordo","Faço amigos com facilidade na escola","DZA","2015",264965.501351215,86.4073841422694
"Concordo","Faço amigos com facilidade na escola","ESP","2000",352392.5637,90.6251733839331
"Concordo","Faço amigos com facilidade na escola","ESP","2003",308339.3902,91.1092581145599
"Concordo","Faço amigos com facilidade na escola","ESP","2012",220275.6795,90.7717904511749
"Concordo","Faço amigos com facilidade na escola","ESP","2015",332862.690932287,83.2291128552753
"Concordo","Faço amigos com facilidade na escola","ESP","2018",337388.783793165,80.9662164912649
"Concordo","Faço amigos com facilidade na escola","ESP","2022",359996.978849408,78.4256869983208
"Concordo","Faço amigos com facilidade na escola","EST","2012",6323.608,82.3668822301479
"Concordo","Faço amigos com facilidade na escola","EST","2015",8232.61593630589,75.9882601227261
"Concordo","Faço amigos com facilidade na escola","EST","2018",8131.44530975045,71.2378404734623
"Concordo","Faço amigos com facilidade na escola","EST","2022",9460.90170653229,70.8949778966502
"Concordo","Faço amigos com facilidade na escola","FIN","2000",52849.9472,85.5278438447541
"Concordo","Faço amigos com facilidade na escola","FIN","2003",50486.0782,87.6121158202264
"Concordo","Faço amigos com facilidade na escola","FIN","2012",33005.2707,85.5047985479687
"Concordo","Faço amigos com facilidade na escola","FIN","2015",45443.0441614013,79.8166814322518
"Concordo","Faço amigos com facilidade na escola","FIN","2018",41954.7351290707,74.6892573601123
"Concordo","Faço amigos com facilidade na escola","FIN","2022",45429.0455956634,77.057495220628
"Concordo","Faço amigos com facilidade na escola","FRA","2000",637861.3165,90.3574584476759
"Concordo","Faço amigos com facilidade na escola","FRA","2003",657444.1301,91.8583200752932
"Concordo","Faço amigos com facilidade na escola","FRA","2012",415247.3832,92.0988183951436
"Concordo","Faço amigos com facilidade na escola","FRA","2015",634311.647051713,86.3074996158798
"Concordo","Faço amigos com facilidade na escola","FRA","2018",611822.019286903,80.8777716449231
"Concordo","Faço amigos com facilidade na escola","FRA","2022",623839.824881559,79.8478482167406
"Concordo","Faço amigos com facilidade na escola","GBR","2000",573351.2058,91.7561495675493
"Concordo","Faço amigos com facilidade na escola","GBR","2003",607059.4414,91.4865606322217
"Concordo","Faço amigos com facilidade na escola","GBR","2012",393444.9112,87.9634636527557
"Concordo","Faço amigos com facilidade na escola","GBR","2015",494126.10261078,78.7197607122102
"Concordo","Faço amigos com facilidade na escola","GBR","2018",436482.04602441,73.083241728776
"Concordo","Faço amigos com facilidade na escola","GBR","2022",550867.629307481,75.3349347982649
"Concordo","Faço amigos com facilidade na escola","GEO","2015",36143.008400456,94.2843113854506
"Concordo","Faço amigos com facilidade na escola","GEO","2018",30260.1968866951,78.620345601268
"Concordo","Faço amigos com facilidade na escola","GEO","2022",32125.7972008318,79.4882915014922
"Concordo","Faço amigos com facilidade na escola","GRC","2000",124882.6415,90.6269576969095
"Concordo","Faço amigos com facilidade na escola","GRC","2003",93621.5487,90.5920250078622
"Concordo","Faço amigos com facilidade na escola","GRC","2012",55161.8663,86.757800587069
"Concordo","Faço amigos com facilidade na escola","GRC","2015",77114.8757752175,80.1970573874184
"Concordo","Faço amigos com facilidade na escola","GRC","2018",71368.8988801959,74.8337107011829
"Concordo","Faço amigos com facilidade na escola","GRC","2022",73375.7711163531,74.8070595234818
"Concordo","Faço amigos com facilidade na escola","GTM","2022",125367.563593431,74.4089688282176
"Concordo","Faço amigos com facilidade na escola","HKG","2000",60868.4589,87.925877229992
"Concordo","Faço amigos com facilidade na escola","HKG","2003",63300.4941,87.6729215420152
"Concordo","Faço amigos com facilidade na escola","HKG","2012",39231.6305,86.3318361782262
"Concordo","Faço amigos com facilidade na escola","HKG","2015",46716.4084820922,81.0178701413998
"Concordo","Faço amigos com facilidade na escola","HKG","2018",38643.4043233879,75.6216657121351
"Concordo","Faço amigos com facilidade na escola","HKG","2022",36269.1432239033,75.1762189950521
"Concordo","Faço amigos com facilidade na escola","HRV","2012",27461.0281,91.2302013124671
"Concordo","Faço amigos com facilidade na escola","HRV","2015",34277.2358667911,83.809152527278
"Concordo","Faço amigos com facilidade na escola","HRV","2018",29071.7603449483,81.9808654810442
"Concordo","Faço amigos com facilidade na escola","HRV","2022",29563.6602063364,84.3888381722012
"Concordo","Faço amigos com facilidade na escola","HUN","2000",94170.7066,88.4512803474258
"Concordo","Faço amigos com facilidade na escola","HUN","2003",93706.6056,88.3783182425858
"Concordo","Faço amigos com facilidade na escola","HUN","2012",53297.258,89.5466805626071
"Concordo","Faço amigos com facilidade na escola","HUN","2015",68614.5652356066,81.0623706808427
"Concordo","Faço amigos com facilidade na escola","HUN","2018",68699.3038886478,79.1888595784435
"Concordo","Faço amigos com facilidade na escola","HUN","2022",71054.5958513383,80.7533633542527
"Concordo","Faço amigos com facilidade na escola","IDN","2000",1506114.7665,89.5981400375673
"Concordo","Faço amigos com facilidade na escola","IDN","2003",1877462.8446,97.705837139387
"Concordo","Faço amigos com facilidade na escola","IDN","2012",1653039.5772,96.1476507478349
"Concordo","Faço amigos com facilidade na escola","IDN","2015",2982069.53949234,96.4205903504165
"Concordo","Faço amigos com facilidade na escola","IDN","2018",3289333.8969438,87.2847814619089
"Concordo","Faço amigos com facilidade na escola","IDN","2022",3305021.21390287,87.1842599309777
"Concordo","Faço amigos com facilidade na escola","IRL","2000",49405.9975,90.1853374675407
"Concordo","Faço amigos com facilidade na escola","IRL","2003",48645.4238,91.4825381845202
"Concordo","Faço amigos com facilidade na escola","IRL","2012",31877.4515,89.4557590612276
"Concordo","Faço amigos com facilidade na escola","IRL","2015",47936.2904432536,81.1346350035542
"Concordo","Faço amigos com facilidade na escola","IRL","2018",45496.575011821,76.286674501875
"Concordo","Faço amigos com facilidade na escola","IRL","2022",53027.3068580645,80.9619781658824
"Concordo","Faço amigos com facilidade na escola","ISL","2000",3142.4334,82.6375324775015
"Concordo","Faço amigos com facilidade na escola","ISL","2003",3289.123,84.925780638586
"Concordo","Faço amigos com facilidade na escola","ISL","2012",2282.158,85.6208757006019
"Concordo","Faço amigos com facilidade na escola","ISL","2015",3015.29428432506,76.1008926039861
"Concordo","Faço amigos com facilidade na escola","ISL","2018",2707.1482702487,69.8129453944772
"Concordo","Faço amigos com facilidade na escola","ISL","2022",3335.38900143684,76.6513725930494
"Concordo","Faço amigos com facilidade na escola","ISR","2000",55107.3679,85.569038216596
"Concordo","Faço amigos com facilidade na escola","ISR","2012",60145.2469,89.5526249146116
"Concordo","Faço amigos com facilidade na escola","ITA","2000",456601.9893,90.445498814757
"Concordo","Faço amigos com facilidade na escola","ITA","2003",438365.4867,92.1094403423402
"Concordo","Faço amigos com facilidade na escola","ITA","2012",306740.6653,89.6245238272511
"Concordo","Faço amigos com facilidade na escola","ITA","2015",410917.312221807,82.997953383181
"Concordo","Faço amigos com facilidade na escola","ITA","2018",413146.371888398,79.2648672626296
"Concordo","Faço amigos com facilidade na escola","ITA","2022",377462.601254918,76.061029345308
"Concordo","Faço amigos com facilidade na escola","JAM","2022",17441.5191658884,68.4106016985071
"Concordo","Faço amigos com facilidade na escola","JOR","2012",61304.0115,86.6412190027155
"Concordo","Faço amigos com facilidade na escola","JOR","2015",98739.9650921378,90.8627359156267
"Concordo","Faço amigos com facilidade na escola","JOR","2018",89709.2090188339,78.0753113611049
"Concordo","Faço amigos com facilidade na escola","JOR","2022",110379.825218447,76.5098051623208
"Concordo","Faço amigos com facilidade na escola","JPN","2000",1011821.3848,72.635052179068
"Concordo","Faço amigos com facilidade na escola","JPN","2003",947420.6226,76.9201467228581
"Concordo","Faço amigos com facilidade na escola","JPN","2012",584303.2478,79.0113739197893
"Concordo","Faço amigos com facilidade na escola","JPN","2015",782742.107462619,68.7611977038728
"Concordo","Faço amigos com facilidade na escola","JPN","2018",745188.565984325,69.0679242598022
"Concordo","Faço amigos com facilidade na escola","JPN","2022",763843.299430289,74.7861778466423
"Concordo","Faço amigos com facilidade na escola","KAZ","2012",127716.5686,93.239234760398
"Concordo","Faço amigos com facilidade na escola","KAZ","2018",161208.084169886,75.9595749464938
"Concordo","Faço amigos com facilidade na escola","KAZ","2022",213745.214338229,78.454107801918
"Concordo","Faço amigos com facilidade na escola","KHM","2022",97620.2401688356,77.225699881989
"Concordo","Faço amigos com facilidade na escola","KOR","2000",482004.0659,83.2526146281271
"Concordo","Faço amigos com facilidade na escola","KOR","2003",418703.9817,78.7541157664859
"Concordo","Faço amigos com facilidade na escola","KOR","2012",316614.2902,78.8497945109331
"Concordo","Faço amigos com facilidade na escola","KOR","2015",451078.864647318,79.2609322122616
"Concordo","Faço amigos com facilidade na escola","KOR","2018",351198.298385811,77.0942577321697
"Concordo","Faço amigos com facilidade na escola","KOR","2022",331884.558424955,77.5410122128931
"Concordo","Faço amigos com facilidade na escola","KSV","2015",20421.5687155943,91.4421851179138
"Concordo","Faço amigos com facilidade na escola","KSV","2018",20472.5642146693,79.5388960702283
"Concordo","Faço amigos com facilidade na escola","KSV","2022",17227.8879366416,81.8620837555225
"Concordo","Faço amigos com facilidade na escola","LBN","2015",37974.4930585755,89.7095298832547
"Concordo","Faço amigos com facilidade na escola","LIE","2000",272.2611,85.8046859266828
"Concordo","Faço amigos com facilidade na escola","LIE","2003",284.7545,86.3251850922172
"Concordo","Faço amigos com facilidade na escola","LIE","2012",176.9023,87.9468189666358
"Concordo","Faço amigos com facilidade na escola","LTU","2012",19220.3083,87.6069004688079
