"faixa_etaria","ano","sexo","tx_100mil","aumento"
"15 a 19 anos",2005,"M",4.7222482058846,26.3424841395942
"15 a 19 anos",2006,"F",2.26061069753779,10.8032371347954
"15 a 19 anos",2006,"M",4.98021954581535,33.2444381459625
"15 a 19 anos",2008,"F",2.36960092030113,16.1453641588664
"15 a 19 anos",2008,"M",4.93089651707097,31.9248137414071
"15 a 19 anos",2009,"F",1.61754581462382,-20.7164185017031
"15 a 19 anos",2009,"M",4.91487471365699,31.4961546884595
"15 a 19 anos",2013,"F",2.14568311081849,5.17009178232133
"15 a 19 anos",2013,"M",5.57096984841793,49.0498040401184
"15 a 19 anos",2014,"F",2.26460014986673,10.9987790885355
"15 a 19 anos",2014,"M",5.52233226575897,47.7485185617268
"15 a 19 anos",2015,"F",2.43176900993905,19.1925166764898
"15 a 19 anos",2015,"M",5.93562226388766,58.8059816083661
"15 a 19 anos",2016,"F",2.3105768372848,13.2523142966121
"15 a 19 anos",2016,"M",6.40532556413559,71.3727674219406
"15 a 19 anos",2017,"F",3.10879082987391,52.3765626253917
"15 a 19 anos",2017,"M",7.00496561490528,87.4159761438854
"15 a 19 anos",2018,"F",3.29988614797142,61.7430492431758
"15 a 19 anos",2018,"M",7.00391816893428,87.3879520078787
"15 a 19 anos",2019,"F",3.27388101325298,60.4684144234486
"15 a 19 anos",2019,"M",8.66396159817587,131.801968697776
"15 a 19 anos",2020,"F",3.36388499191821,64.8799357004114
"15 a 19 anos",2020,"M",8.46444182427609,126.463870662595
"15 a 19 anos",2021,"F",4.19432992819969,105.583975233804
"15 a 19 anos",2021,"M",8.65493971533396,131.560590642204
"15 a 19 anos",2022,"F",4.05392113034264,98.7018750377322
"15 a 19 anos",2022,"M",8.69736865717174,132.695765600716
"20 anos ou mais",2000,"F",2.19089615555909,0
"20 anos ou mais",2000,"M",9.8970026305504,0
"20 anos ou mais",2001,"F",2.36285136182143,7.84862421826955
"20 anos ou mais",2001,"M",10.859141076184,9.7215134879692
"20 anos ou mais",2002,"F",2.58073642747701,17.7936444376314
"20 anos ou mais",2002,"M",10.4060251962567,5.14319925646015
"20 anos ou mais",2003,"F",2.37020872512015,8.18443946355419
"20 anos ou mais",2003,"M",10.5601776751277,6.70076657886515
"20 anos ou mais",2004,"F",2.47414237720342,12.9283271106042
"20 anos ou mais",2004,"M",10.4602061707898,5.69064757546784
"20 anos ou mais",2005,"F",2.59131622893323,18.2765427908639
"20 anos ou mais",2005,"M",11.0241041897045,11.3883122115667
"20 anos ou mais",2006,"F",2.54190658340496,16.0213174392238
"20 anos ou mais",2006,"M",10.8960829125784,10.0947763613196
"20 anos ou mais",2008,"F",2.67987586259786,22.3187076118627
"20 anos ou mais",2008,"M",11.3942345571483,15.1281350777472
"20 anos ou mais",2009,"F",2.60059305898154,18.6999690689543
"20 anos ou mais",2009,"M",11.3702887155765,14.8861846361273
"20 anos ou mais",2013,"F",2.86163971955931,30.6150322231524
"20 anos ou mais",2013,"M",11.7365562978871,18.5869776538033
"20 anos ou mais",2014,"F",2.79654012112796,27.6436637141443
"20 anos ou mais",2014,"M",11.6915890555971,18.1326255234808
"20 anos ou mais",2015,"F",2.96634118260788,35.3939653908842
"20 anos ou mais",2015,"M",11.9979473837529,21.2280912881365
"20 anos ou mais",2016,"F",2.89011370139928,31.9146822210644
"20 anos ou mais",2016,"M",12.1383399132841,22.646627129461
"20 anos ou mais",2017,"F",3.11584316764595,42.2177477348683
"20 anos ou mais",2017,"M",12.9640928260968,30.9900917483729
"20 anos ou mais",2018,"F",3.14930291712776,43.744965234288
"20 anos ou mais",2018,"M",13.0142473859333,31.4968568944345
"20 anos ou mais",2019,"F",3.32213061035593,51.6334127442096
"20 anos ou mais",2019,"M",13.4907780411584,36.3117556371523
"20 anos ou mais",2020,"F",3.35272713750303,53.0299429754334
"20 anos ou mais",2020,"M",13.6879651631943,38.304147974477
"20 anos ou mais",2021,"F",3.76349687719306,71.7788799639692
"20 anos ou mais",2021,"M",15.0731770668854,52.3004249827819
"20 anos ou mais",2022,"F",3.91020671951171,78.4752193567058
"20 anos ou mais",2022,"M",16.000372001682,61.6688668172269
"10 a 14 anos",2000,"todos",0.473776850874912,0
"10 a 14 anos",2001,"todos",0.614855106233746,29.7773635622569
"10 a 14 anos",2002,"todos",0.6174303472209,30.3209192430375
"10 a 14 anos",2003,"todos",0.572521500929307,20.842016631257
"10 a 14 anos",2004,"todos",0.596531545514778,25.9098126920254
"10 a 14 anos",2005,"todos",0.603242521358846,27.3262972314609
"10 a 14 anos",2006,"todos",0.679435406598537,43.4083166671907
"10 a 14 anos",2008,"todos",0.557958490329388,17.7682044403436
"10 a 14 anos",2009,"todos",0.616043182534874,30.0281306267375
"10 a 14 anos",2013,"todos",0.694113671087879,46.5064554771042
"10 a 14 anos",2014,"todos",0.83349905485903,75.9265049188933
