"faixa_etaria","ano","sexo","tx_100mil","aumento"
"10 a 14 anos",2011,"F",2.38947693285321,0
"10 a 14 anos",2011,"M",1.41369360630845,0
"10 a 14 anos",2012,"F",2.15604327676405,-9.7692366425328
"10 a 14 anos",2012,"M",1.26634439912985,-10.4229945244902
"10 a 14 anos",2013,"F",2.52161901738454,5.53016782520431
"10 a 14 anos",2013,"M",1.28192376468046,-9.32096184349854
"10 a 14 anos",2014,"F",2.09551275281164,-12.3024489585911
"10 a 14 anos",2014,"M",1.45070470859602,2.61804270192763
"10 a 14 anos",2015,"F",2.46494283386744,3.15826028603334
"10 a 14 anos",2015,"M",1.57842405731815,11.6524861026894
"10 a 14 anos",2016,"F",2.14326200067507,-10.304135134887
"10 a 14 anos",2016,"M",1.09322763115205,-22.6687008929201
"10 a 14 anos",2017,"F",3.10463977237278,29.929681667427
"10 a 14 anos",2017,"M",1.85814647744859,31.4391229582439
"10 a 14 anos",2018,"F",3.74138300915782,56.577490149291
"10 a 14 anos",2018,"M",1.43689021216952,1.64085101308784
"10 a 14 anos",2019,"F",5.61130574573423,134.834062157441
"10 a 14 anos",2019,"M",1.44486163123409,2.20472277631844
"10 a 14 anos",2020,"F",4.35834126201219,82.397293821456
"10 a 14 anos",2020,"M",1.29163392560959,-8.63409724385714
"10 a 14 anos",2021,"F",6.43676405837316,169.379627393481
"10 a 14 anos",2021,"M",1.38577387219108,-1.97494945105331
"10 a 14 anos",2022,"F",6.58438016741955,175.557385672575
"10 a 14 anos",2022,"M",1.72502908590709,22.0228399003391
"10 a 14 anos",2023,"F",6.90922190104125,189.152065292847
"10 a 14 anos",2023,"M",2.18988960364812,54.9055321376561
"15 a 19 anos",2011,"F",5.5059793751933,0
"15 a 19 anos",2011,"M",4.03093090616935,0
"15 a 19 anos",2012,"F",5.4036093266297,-1.859252307134
"15 a 19 anos",2012,"M",4.61831732642163,14.5719793746227
"15 a 19 anos",2013,"F",5.16860683047989,-6.12738482518501
"15 a 19 anos",2013,"M",5.75475442073687,42.7648985977213
"15 a 19 anos",2014,"F",5.12202756409648,-6.97336086703625
"15 a 19 anos",2014,"M",6.1767458606618,53.2337319701581
"15 a 19 anos",2015,"F",4.86353801987811,-11.6680668694411
"15 a 19 anos",2015,"M",6.11931656992674,51.8090166358624
"15 a 19 anos",2016,"F",5.47428973756705,-0.575549515659714
"15 a 19 anos",2016,"M",5.36259814671816,33.0362209511133
"15 a 19 anos",2017,"F",6.14638797662094,11.631147844704
"15 a 19 anos",2017,"M",6.3285450399799,56.9995910943065
"15 a 19 anos",2018,"F",8.18419416482443,48.6419328357383
"15 a 19 anos",2018,"M",6.25637353678201,55.209148517198
"15 a 19 anos",2019,"F",13.203454196306,139.802100527164
"15 a 19 anos",2019,"M",6.18854399869705,53.5264221280865
"15 a 19 anos",2020,"F",10.2247583387442,85.7028085650107
"15 a 19 anos",2020,"M",5.64296121618406,39.9915143062239
"15 a 19 anos",2021,"F",10.3509194719314,87.994156290642
"15 a 19 anos",2021,"M",5.67943520201314,40.8963669737121
"15 a 19 anos",2022,"F",12.7710950946684,131.949562909869
"15 a 19 anos",2022,"M",5.89794050617011,46.3170826655277
"15 a 19 anos",2023,"F",12.0715315821918,119.244039245389
"15 a 19 anos",2023,"M",6.69393069065358,66.0641386933352
"20 anos ou mais",2011,"F",4.08081011562777,0
"20 anos ou mais",2011,"M",6.92001070998933,0
"20 anos ou mais",2012,"F",3.72735425499521,-8.66141404813157
"20 anos ou mais",2012,"M",5.97501191025733,-13.6560308839964
"20 anos ou mais",2013,"F",3.68459493302734,-9.70922859368273
"20 anos ou mais",2013,"M",7.06106699251846,2.03838243090449
"20 anos ou mais",2014,"F",3.78247257657873,-7.3107429798445
"20 anos ou mais",2014,"M",7.65846136298027,10.6712356951262
"20 anos ou mais",2015,"F",4.07941479709489,-0.0341921945238211
"20 anos ou mais",2015,"M",7.63799737882628,10.3755138384469
"20 anos ou mais",2016,"F",3.65405659357399,-10.4575687170422
"20 anos ou mais",2016,"M",6.77391143706281,-2.11125790189339
"20 anos ou mais",2017,"F",4.01474774931543,-1.61885420885797
"20 anos ou mais",2017,"M",6.74212632299266,-2.57057964866857
"20 anos ou mais",2018,"F",4.16987347897826,2.18249222156688
"20 anos ou mais",2018,"M",6.88056380134401,-0.570041150201838
"20 anos ou mais",2019,"F",5.4898175650864,34.5276405795685
"20 anos ou mais",2019,"M",6.44862234128185,-6.8119601032844
"20 anos ou mais",2020,"F",4.47502742065643,9.66027072710324
"20 anos ou mais",2020,"M",5.45336170627313,-21.1943169625306
"20 anos ou mais",2021,"F",4.79868079717697,17.591376741595
"20 anos ou mais",2021,"M",5.90849173327629,-14.6173036300777
"20 anos ou mais",2022,"F",5.57902932457086,36.7137692392387
"20 anos ou mais",2022,"M",6.39643303044763,-7.56613972845287
"20 anos ou mais",2023,"F",6.18907027254637,51.6627850152807
"20 anos ou mais",2023,"M",7.31222891214958,5.66788432269428
"10 a 14 anos",2011,"todos",1.89258895835735,0
"10 a 14 anos",2012,"todos",1.70281744222059,-10.0270856647857
"10 a 14 anos",2013,"todos",1.88985570951658,-0.144418513523796
"10 a 14 anos",2014,"todos",1.76678320783499,-6.64728333993661
"10 a 14 anos",2015,"todos",2.01275816361391,6.34946139392359
"10 a 14 anos",2016,"todos",1.6074813622133,-15.0644224613628
"10 a 14 anos",2017,"todos",2.46839616931666,30.4243141870101
"10 a 14 anos",2018,"todos",2.56473252336696,35.5145031382297
"10 a 14 anos",2019,"todos",3.48334806408085,84.0520123875271
